SignatureTime	PrioritizationTime	Total
9.002460383	4.9620610659999995	13.964521449
9.002460383	4.532408307999999	13.534868691
9.002460383	4.467942817000001	13.470403200000002
9.002460383	4.483461448000002	13.485921831000002
9.002460383	4.523169234000001	13.525629617000002
9.002460383	4.565730851999998	13.568191234999999
9.002460383	4.579120373999999	13.581580757
9.002460383	4.608123291000005	13.610583674000006
9.002460383	4.55057541	13.553035793000001
9.002460383	4.537868092000004	13.540328475000004
9.002460383	4.531406702000005	13.533867085000006
9.002460383	4.535796283000003	13.538256666000004
9.002460383	4.537640730999996	13.540101113999997
9.002460383	4.569045918000008	13.571506301000008
9.002460383	4.541278165999998	13.543738548999999
9.002460383	4.576375802000001	13.578836185000002
9.002460383	4.549012042000001	13.551472425000002
9.002460383	4.498834971000008	13.501295354000009
9.002460383	4.494954312000004	13.497414695000005
9.002460383	4.536129314000007	13.538589697000008
9.002460383	4.548604771000001	13.551065154000002
9.002460383	4.5337762310000045	13.536236614000005
9.002460383	4.565618070999989	13.56807845399999
9.002460383	4.527341844000006	13.529802227000006
9.002460383	4.5207790910000085	13.52323947400001
9.002460383	4.504718038000007	13.507178421000008
9.002460383	4.5320523359999925	13.534512718999993
9.002460383	4.509525800000006	13.511986183000007
9.002460383	4.587422083999996	13.589882466999997
9.002460383	4.565857233000003	13.568317616000003
9.002460383	4.5679022830000235	13.570362666000024
9.002460383	4.574297573000024	13.576757956000025
9.002460383	4.655221049999994	13.657681432999995
9.002460383	4.608003577999995	13.610463960999995
9.002460383	4.659740650000003	13.662201033000004
9.002460383	4.580944993999992	13.583405376999993
9.002460383	4.603606919000015	13.606067302000016
9.002460383	4.585322394000002	13.587782777000003
9.002460383	4.578695574000022	13.581155957000023
9.002460383	4.586087695999993	13.588548078999994
9.002460383	4.56556358200001	13.56802396500001
9.002460383	4.586057057000005	13.588517440000006
9.002460383	4.588251178000007	13.590711561000008
9.002460383	4.6105652220000195	13.61302560500002
9.002460383	4.571506738000011	13.573967121000011
9.002460383	4.572624461000004	13.575084844000004
9.002460383	4.516156641000009	13.51861702400001
9.002460383	4.51434155299998	13.51680193599998
9.002460383	4.567072467999992	13.569532850999993
9.002460383	4.522989342000017	13.525449725000017
